,Item Name,price
284,Tamrind Chatisghar,88.29587054
285,Tender Coconut,26.66980909
286,Tender Coconut(M),23.74784421
287,Tender Coconut(S),20.47954868
288,Thailand Jelly,26.39737949
289,Thailand Juice,15.83844205
290,Thinda,58.67958304
291,Thogari kai,40.34459199
292,Times Rose berry,179.4723821
293,Tomoto,23.44370321
294,Washington gala apple,134.9421572
295,Washington red apple,108.9079858
296,Watermellon,19.16725364
297,Watermellon kiran,22.79123807
298,Y.Bananan T.N.,198.5301988
299,Yam/S.Root,46.11493398
300,knol-khol,33.06400695
301,mango Pickles,79.19219904
